id,name,second_name,phone,date,EAN_id
b'106',b'\xd0\x9c\xd0\xb8\xd1\x85\xd0\xb0\xd0\xb8\xd0\xbb',b'\xd0\x9d\xd0\xbe\xd1\x81\xd0\xb0\xd0\xb5\xd0\xb2',b'+79264771362',b'1985-06-22',b'9690000002220'
b'107',b'oiyoiy',b'oiyoiy',b'+78756674575',b'2000-01-01',b'9690000002251'
b'108',b'\xd0\x90\xd0\xbb\xd0\xb5\xd0\xba\xd1\x81\xd0\xb5\xd0\xb9',b'\xd0\x9c\xd0\xb0\xd1\x81\xd0\xbe\xd0\xb5\xd0\xb2',b'+79850606502',b'1990-07-23',b'9690000002268'
b'109',b'\xd0\x90\xd0\xbb\xd0\xb5\xd0\xba\xd1\x81\xd0\xb5\xd0\xb9',b'\xd0\x90\xd0\xbb\xd1\x84\xd0\xb5\xd1\x80\xd0\xbe\xd0\xb2',b'+78977372403',b'1997-07-02',b'9690000002275'
b'110',b'Test',b'Test',b'+76473737374',b'2000-01-01',b'9690000002282'
b'111',b'\xd0\xaf\xd0\xbd\xd0\xb0',b'\xd0\xa3\xd1\x81\xd0\xb0\xd1\x87\xd0\xb5\xd0\xb2\xd0\xb0',b'+79680659077',b'1995-08-12',b'9690000002299'
b'112',b'\xd0\x9e\xd0\xbb\xd0\xb5\xd0\xb3',b'\xd0\xa0\xd0\xb5\xd0\xbc\xd0\xb5\xd1\x81\xd0\xbb\xd0\xbe\xd0\xb2',b'+79781126870',b'2001-01-21',b'9690000002305'
b'113',b'\xd0\x9e\xd0\xbb\xd0\xbe',b'\xd0\x9e\xd0\xbe\xd0\xbe\xd0\xbe',b'+75666436888',b'2001-12-22',b'9690000002336'
b'114',b'yufyuf',b'uyfyu',b'+7786578678_',b'2000-01-01',b'9690000002343'
b'115',b'ytdytd',b'ytdytd',b'+76564364765',b'2000-01-01',b'9690000002350'
b'116',b'ytdytd',b'ytdytd',b'+79876576457',b'2000-01-01',b'9690000002367'
b'117',b'ytdytd',b'ytdytd',b'+78978970909',b'2000-01-01',b'9690000002374'
